    x1           x2
  2.01727471   3.79314051
  1.73138038   3.03579432
  3.78847996   5.49936400
  9.54856157   8.64451700
  4.65209978   6.37963228
  4.32566784   6.15485170
  3.53685657   3.70994806
  1.92860253   1.95481933
 -0.68998437   0.74152796
  3.34181504   5.67728823
  6.17510306   6.49081589
  1.32053113   1.85383046
  3.65365330   5.92482342
  2.81906161   5.91964672
  6.32970045   4.30371267
  1.97046814   4.45064176
  6.15839510   7.87366353
  3.12787474   3.54832528
  5.22399521   5.97091580
  0.84448430   0.72273322
  1.63362847   2.81953461
  0.22514085   0.58408384
  1.29013407   1.07363742
  3.38301600   7.41582986
  2.61547660   3.34391519
  1.00509769   3.19328786
  6.14582755   6.17087675
  2.13264592   3.05468859
  3.26250175   6.06596181
 -0.06819100   4.65170767
  2.63341695   2.76897340
  4.23195681   4.56859229
  0.83310389   3.61681116
  3.54350373   2.45057391
  2.67523670   1.99859642
  0.83129509   1.76770091
  5.15360326   5.89603280
  3.50364017   4.64867656
  0.91531338   1.59410442
  2.08673876   1.56400425
  3.75820699   4.59943714
 -1.45998122   1.63050680
  1.20744116   5.53056420
  3.49767538   3.86346479
  3.45170854   3.34720876
  3.76050901   3.37624186
  1.98043399   5.36097154
  4.14845056   2.70082214
  1.93417915   3.73019439
  4.28270362   4.52726793
 -0.10380827   0.76496455
  7.46182196   5.53415582
  1.58950240   5.91750944
  1.78770790   2.03198111
  1.30821769   2.38336324
  0.51096776   2.36952881
  5.70191738   8.18211392
  0.74991759   1.31227434
  2.40333586   3.25795042
  3.36804598   6.27630473
  4.68676747   4.49085684
  7.90109229   7.55420215
  3.18855113   4.05640884
  0.00750638   2.31741064
  9.29898955   6.16229245
  1.84876788   0.44160014
  1.56850859   3.92321160
  0.37155049   4.16850534
 -1.73153890   1.90397622
  3.33933391   4.28564236
  2.91219002   3.90640080
  6.92516615   4.52072493
  1.49723496   4.10339246
  4.12863045   5.39936717
  7.06736579   4.83150307
  4.21200210   4.77829510
  3.57748014   4.50398888
  3.59146496   2.90707342
  2.92496778   6.23446793
  4.32223373   2.68727886
  2.57465540   0.63826643
  1.21704439   0.53875526
  3.20927179   5.13988384
  2.88434149   4.29835720
  5.99071384   6.42746825
 -1.37560994  -0.82227551
  1.02376954   3.07223006
  0.37184546   2.51954421
  4.07715869   6.05222684
  1.80226007   3.35902304
  3.61937470   4.76920041
  6.91192913   7.62806792
  4.66442905   5.93725342
  2.75462948   2.89930223
  0.57617094   2.93171554
  7.87942584   8.15050845
  2.09698961   4.07698894
  1.05992674   3.29755597
  6.82877861   7.13936102
  0.66929308   3.00150986
  1.27444241   2.95556980
  1.79792998   2.94541860
  3.41871303   6.82714618
  4.48490363   4.49476660
  1.33991263   2.56066069
  3.85484670   3.21417894
  1.12055890   2.15416547
 -1.79997818   3.23927379
  3.50199173   3.78527942
  3.68014426   5.74115385
  6.98355242   5.03677545
  2.50210521   3.41313638
  6.00851792   4.43077138
  6.85647593   6.12750037
  1.23237819   1.87199978
  4.83455116   4.78904625
  4.65325648   4.38242745
  1.61036269   3.90282288
  3.71833629   4.00432610
  0.20654732   0.42101469
  3.37726882   3.64346111
  3.08526528   3.52105607
  5.77941897   5.14579676
  3.27973458   2.60646517
  6.38948892   6.90586599
  0.78703768   1.68285719
 -4.51824716  -0.66025077
  7.02070293   5.70442349
  5.25787413   6.68789662
  5.68679430   5.80171267
  1.37688301   2.03468135
  0.20412108   3.27230147
  1.25095689   3.77915558
  2.62411986   2.20246658
  3.40583165   3.52157316
  2.08445210   3.60914469
  5.59602723   7.08473049
  2.17731189   4.84381398
  3.44271559   3.59680080
 -1.91648256   2.42808033
  3.98608093   4.12115512
  3.78830319   2.85144074
  1.97280723   4.04098618
  1.46767350   3.81385497
  2.25633508   3.31733949
 -0.26328538   3.24589375
  3.56048034   3.00135873
 -3.88020583  -0.32331390
  4.80806666   6.26103323
  4.15358215   4.79277407
  2.72603021   4.84873545
  4.10102896   5.64833568
  1.60527216   0.81316813
  2.21925197   4.80164417
  5.54197205   6.43525452
  1.67913806   2.23009496
  4.21320115   3.57283768
  1.66400233   2.53406157
  1.07021866   3.58844512
  4.50134473   3.45772031
  5.80288944   4.61269639
  5.55848405   6.71044221
  1.02187914   1.41176617
  8.11161881   3.36980430
  4.24663760   2.13926227
  4.69323834   4.62584631
  3.93355928   5.33209807
  1.91983323   3.09436557
  0.38472874   1.94135085
  5.67745586   5.50026515
  3.89116423   1.56572165
  2.01873982   2.88516098
  3.00471519   3.10359581
 -0.84848534   3.86992216
  2.23335090   4.15338948
  2.26588825   4.00469063
  1.54599038   4.19868454
  3.97521006   4.60911760
  1.17502341   3.24720132
  4.76518080   5.92433666
  4.45786616   3.33258865
  1.84569407   3.87239869
  1.29816464   3.62048563
  2.24948117   2.38057590
  5.60593425   6.35729527
  4.69359950   4.27497382
  4.95869348   5.88964673
  1.38051605   2.64131616
  2.60110779   1.27220627
 -5.34413069  -0.18172698
  4.89011942   5.78807634
  6.67233018   6.22934355
  1.63489646   3.56541767
  0.69212545   1.63449441
  4.34384400   4.81482514
  0.18347478   3.11778754
  2.91495019   4.11506763
  4.78826274   5.16753637
 -0.49717525  -0.25590004
  5.92784976   4.29625553
  2.48786165   6.16299001
  2.88611845   2.06205735
  5.00219330   3.58670943
  0.35268126   1.93955693
  1.94295170   4.29644769
  4.82765645   3.80060686
  4.49497481   4.41723874
  4.74310125   3.86819850
  3.59855846   4.27783590
  3.30208357   3.84354310
 -0.02456606   0.76827312
  6.80628872   4.87571927
  1.53695631   5.04854714
  1.50532874   3.22078532
  7.61586209   5.92562817
  6.36046605   5.45294569
 -0.61809018   1.23802914
  8.10223128   7.01416123
  6.40356870   5.75000637
 -0.01438549   2.52361058
  2.69888843   2.23344616
  1.57260347   3.74032542
  4.70893426   3.88343761
  1.04780433   3.35133469
  4.76004929   6.77237698
  4.14584673   5.30844743
  0.99166930   3.00412623
  3.36426988   3.54574951
  0.97833432   2.16792617
 -0.12531367   2.73711785
  0.18055101   4.96173023
  6.58584004   5.71533239
  0.88966619   2.04863055
  4.75548297   3.83362810
  0.79444213  -0.51068290
  2.24860097   4.60282010
  1.19094209   1.60613170
  3.52258370   5.22730542
  2.86931227   4.21215730
  3.11956299   3.20917072
  8.35331908   7.85882924
 -2.22013849   2.15795397
  2.16832042   2.94090188
  2.38340004   2.88588230
  0.32578630   1.61181915
  0.45218485   0.98883587
  2.74781265   4.73377563
  2.35215138   4.51785416
  4.58544134   6.36773452
  5.36771979   4.61290338
  3.73761831   3.62334066
  0.80635491  -0.48641009
  4.17693558   3.72227262
 -0.62661714   1.72572728
  1.57276174   1.37304575
  5.19972125   6.99881783
  3.18177267   5.05862668
 -1.83769077   2.33198248
  1.95395397   2.63778902
  2.90962655   3.74894157
  3.61233614   4.26642978
  3.09794368   3.48724463
  5.01065320   3.39160492
  3.25105371   4.49914686
  4.27828117   4.89053990
  8.74930419   7.61740567
  5.65713913   6.91983584
  1.83167332   3.47054579
  2.21367063   2.94295116
  1.86295682   3.04410596
  3.28285005   7.89810745
  5.21468675   5.66232391
  6.25580566   4.74955222
  1.11093565   4.26148951
  1.69594684   3.81750125
  1.19381487   5.14842513
  6.60363518   6.43913725
  6.30303642   5.42037285
  3.59038128   4.34890512
  2.36032997   4.97001412
  0.68883033   1.50477030
 -1.99073922   1.41193775
  3.82929915   5.68830156
  5.00947961   4.16260710
  5.21050021   4.70067737
  3.21394548   2.75048725
  3.80012876   4.46998501
  5.84812186   7.59777334
  1.70106294   2.07817923
  5.35361319   9.16246039
  4.26411608   4.06973080
  1.38371377   3.28409809
  0.68204505   0.62300206
 -0.57644503   0.64591264
  3.32043957   2.79369355
  2.65751989   3.17377331
  1.23124810   0.25343511
  5.81448543   7.20636906
  3.26152678   5.85385086
  4.46458073   5.10428627
  1.93801312   4.19097926
  6.05838276   3.31612743
  8.87568894   6.14478226
  1.61501439   3.60574557
  2.67466501   4.33048505
  4.80036849   6.70029828
  4.42083278   5.97515498
 -2.82603848   0.13361167
  0.99467483   3.57146635
  3.22457266   2.77367863
  3.21137933   4.36005200
  0.18876721   1.57758970
  2.28897980   4.39235880
  3.55937312   3.76636379
 -1.70453943   1.50675744
  2.92875275   4.43051082
 -1.29215695   1.04278259
 -2.37608666  -1.41407892
 -0.43875822   3.06134998
  3.66478570   2.94251060
  4.00914303   5.86064669
  3.56073493   4.53129411
 -4.33453275  -1.25871349
  3.43848772   3.84064763
  3.50150528   2.96040667
  3.32534859   2.64768721
  5.67454436   6.13570551
  4.10264987   4.16231036
  7.85839956   5.04585440
  4.52284984   4.39184182
  1.05653386   3.12749437
  5.46620041   5.55249286
  6.17537849   5.58670668
  1.84726541   2.99169041
  6.07461268   4.45018779
  6.47852767   7.74025376
  1.43600951   3.71910933
  6.46803155   7.05425980
  3.07128528   3.04582521
  2.41774963   2.08497237
 -0.28198706   1.14486147
  1.25422126   2.70568676
 -1.21326433   0.20964133
  2.50415419   5.19797220
  7.44729480   7.28118235
  3.29637101   2.04985482
  1.73236735   1.35894856
  3.85152130   0.72204167
  4.03507754   4.38225468
  3.37442396   2.93180252
